fault_id,date,model,firmware_version,installer_type,reported_symptom,fault_code,true_category,predicted_category,correct_prediction,false_hardware_fault,fix_or_escalation_action,first_visit_fixed,commissioning_time_minutes
FLT-0049,2025-04-09,TF-12,2.4.2,own_field_installer,Smart meter gateway will not pair with the control unit,CONN-01,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,32
FLT-0050,2025-04-10,TF-08,2.4.0,own_field_installer,Flow/return sensors reversed during install,E2,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,60
FLT-0051,2025-04-10,AS-16,2.4.2,partner_SHK,"Unit trips on startup, wiring terminal check shows a loose connection",E2,installer_error,hardware_fault,false,true,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",false,71
FLT-0052,2025-04-11,AS-16,2.3.1,partner_SHK,Buffer tank valve left in service position after commissioning,,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,37
FLT-0053,2025-04-12,TF-08,2.3.1,own_field_installer,"Heating circuit pressure too low after commissioning, E2 on display",E2,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",false,48
FLT-0054,2025-04-13,TF-08,2.4.2,partner_SHK,Flow/return sensors reversed during install,,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,47
FLT-0055,2025-04-14,TF-12,2.4.0,partner_SHK,"App shows unit offline, unit itself is heating normally",CONN-01,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,36
FLT-0056,2025-04-15,AS-10,2.4.2,own_field_installer,"App shows unit offline, unit itself is heating normally",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,37
FLT-0057,2025-04-15,AS-10,2.4.0,partner_SHK,"App shows unit offline, unit itself is heating normally",CONN-01,connectivity_issue,hardware_fault,false,true,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,63
FLT-0058,2025-04-16,TF-08,2.4.2,partner_SHK,Wi-Fi pairing fails after firmware update to 2.4.2,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,25
FLT-0059,2025-04-17,TF-08,2.4.0,partner_SHK,Smart meter gateway will not pair with the control unit,CONN-01,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,30
FLT-0060,2025-04-18,TF-08,2.4.2,partner_SHK,"Outdoor unit making grinding noise then shutting down, E4 logged",E4,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,144
FLT-0061,2025-04-19,AS-16,2.4.2,partner_SHK,"Intermittent 'lost connection' notifications, no fault at the unit",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",false,26
FLT-0062,2025-04-19,AS-16,2.4.0,partner_SHK,"Low refrigerant pressure alarm, error code E4",E4,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,112
FLT-0063,2025-04-20,AS-16,2.3.1,partner_SHK,"No heat output, outdoor unit fan not spinning",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,147
FLT-0064,2025-04-21,TF-12,2.4.0,own_field_installer,"Intermittent 'lost connection' notifications, no fault at the unit",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,43
FLT-0065,2025-04-22,TF-12,2.4.0,own_field_installer,Flow/return sensors reversed during install,E2,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,37
FLT-0066,2025-04-23,TF-12,2.3.1,own_field_installer,Flow/return sensors reversed during install,,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,51
FLT-0067,2025-04-24,AS-10,2.3.1,own_field_installer,"Compressor short-cycling, error code E7 on display",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,132
FLT-0068,2025-04-24,TF-08,2.4.0,partner_SHK,"Outdoor unit making grinding noise then shutting down, E12 logged",E12,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,150
FLT-0069,2025-04-25,AS-16,2.4.0,own_field_installer,Buffer tank valve left in service position after commissioning,,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,31
FLT-0070,2025-04-26,AS-10,2.4.0,partner_SHK,"Low refrigerant pressure alarm, error code E12",E12,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,171
FLT-0071,2025-04-27,TF-08,2.4.2,own_field_installer,"Low refrigerant pressure alarm, error code E12",E12,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,123
FLT-0072,2025-04-28,AS-16,2.4.2,own_field_installer,Wi-Fi pairing fails after firmware update to 2.4.2,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,34
FLT-0073,2025-04-28,TF-08,2.4.0,own_field_installer,"Unit trips on startup, wiring terminal check shows a loose connection",,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,65
FLT-0074,2025-04-29,TF-12,2.4.2,partner_SHK,Wi-Fi pairing fails after firmware update to 2.4.2,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,35
FLT-0075,2025-04-30,AS-16,2.4.0,own_field_installer,"No heat output, outdoor unit fan not spinning",E12,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,95
FLT-0076,2025-05-01,TF-08,2.4.2,own_field_installer,"Heating circuit pressure too low after commissioning, E2 on display",E2,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,48
FLT-0077,2025-05-02,TF-12,2.4.0,own_field_installer,"Intermittent 'lost connection' notifications, no fault at the unit",CONN-01,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,24
FLT-0078,2025-05-02,AS-16,2.4.2,partner_SHK,Flow/return sensors reversed during install,,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,39
FLT-0079,2025-05-03,AS-16,2.4.2,own_field_installer,"Unit trips on startup, wiring terminal check shows a loose connection",,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,59
FLT-0080,2025-05-04,AS-10,2.4.2,own_field_installer,"App shows unit offline, unit itself is heating normally",CONN-01,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,22
FLT-0081,2025-05-05,AS-16,2.4.0,own_field_installer,Buffer tank valve left in service position after commissioning,,installer_error,hardware_fault,false,true,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",false,104
FLT-0082,2025-05-06,TF-08,2.4.0,own_field_installer,Flow/return sensors reversed during install,,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,60
FLT-0083,2025-05-07,AS-16,2.4.2,partner_SHK,"Outdoor unit making grinding noise then shutting down, E7 logged",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,99
FLT-0084,2025-05-07,TF-08,2.4.0,partner_SHK,"Compressor short-cycling, error code E7 on display",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,129
FLT-0085,2025-05-08,AS-10,2.4.0,partner_SHK,"Outdoor unit making grinding noise then shutting down, E12 logged",E12,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,103
FLT-0086,2025-05-09,TF-12,2.3.1,partner_SHK,Wi-Fi pairing fails after firmware update to 2.3.1,CONN-01,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",false,22
FLT-0087,2025-05-10,TF-12,2.4.0,partner_SHK,Flow/return sensors reversed during install,,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",false,32
FLT-0088,2025-05-11,TF-12,2.3.1,own_field_installer,"Heating circuit pressure too low after commissioning, n/a on display",,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,62
FLT-0089,2025-05-12,TF-08,2.4.2,own_field_installer,"Low refrigerant pressure alarm, error code E12",E12,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,148
FLT-0090,2025-05-12,AS-16,2.4.2,partner_SHK,"Compressor short-cycling, error code E7 on display",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,179
FLT-0091,2025-05-13,TF-12,2.3.1,partner_SHK,"App shows unit offline, unit itself is heating normally",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,34
FLT-0092,2025-05-14,AS-16,2.4.0,partner_SHK,Buffer tank valve left in service position after commissioning,,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,57
FLT-0093,2025-05-15,AS-10,2.3.1,own_field_installer,"Compressor short-cycling, error code E4 on display",E4,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,155
FLT-0094,2025-05-16,TF-12,2.4.2,own_field_installer,"Unit trips on startup, wiring terminal check shows a loose connection",,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,70
FLT-0095,2025-05-16,AS-10,2.4.0,own_field_installer,"Outdoor unit making grinding noise then shutting down, E12 logged",E12,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,136
FLT-0096,2025-05-17,AS-16,2.4.2,own_field_installer,Smart meter gateway will not pair with the control unit,CONN-01,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,23
FLT-0097,2025-05-18,AS-10,2.4.2,own_field_installer,Smart meter gateway will not pair with the control unit,,connectivity_issue,hardware_fault,false,true,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,104
FLT-0098,2025-05-19,TF-08,2.3.1,partner_SHK,Wi-Fi pairing fails after firmware update to 2.3.1,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,26
FLT-0099,2025-05-20,TF-08,2.4.2,partner_SHK,"Compressor short-cycling, error code E7 on display",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,142
FLT-0100,2025-05-21,TF-12,2.4.0,own_field_installer,Smart meter gateway will not pair with the control unit,,connectivity_issue,hardware_fault,false,true,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",false,86
FLT-0101,2025-05-21,TF-08,2.4.2,own_field_installer,"Outdoor unit making grinding noise then shutting down, E7 logged",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,135
FLT-0102,2025-05-22,TF-12,2.3.1,partner_SHK,Flow/return sensors reversed during install,E2,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",false,37
FLT-0103,2025-05-23,AS-16,2.4.0,own_field_installer,"Unit trips on startup, wiring terminal check shows a loose connection",,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,36
FLT-0104,2025-05-24,AS-10,2.4.2,partner_SHK,"Intermittent 'lost connection' notifications, no fault at the unit",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,42
FLT-0105,2025-05-25,TF-08,2.4.0,partner_SHK,"Outdoor unit making grinding noise then shutting down, E4 logged",E4,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,178
FLT-0106,2025-05-25,TF-08,2.3.1,partner_SHK,Buffer tank valve left in service position after commissioning,E2,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,67
FLT-0107,2025-05-26,AS-16,2.4.0,partner_SHK,Flow/return sensors reversed during install,,installer_error,hardware_fault,false,true,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,89
FLT-0108,2025-05-27,TF-08,2.4.2,own_field_installer,"Unit trips on startup, wiring terminal check shows a loose connection",,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",false,74
